
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-06-02 16:05:08 /api/auth/meta/status .............................................................. ~ 507.56ms
  2026-06-02 16:05:09 /api/auth/google/status ............................................................ ~ 506.20ms
  2026-06-02 16:05:09 /api/tenant-config ................................................................. ~ 506.19ms
  2026-06-02 16:05:09 /api/notifications ................................................................. ~ 506.70ms
  2026-06-02 16:05:10 /api/auth/meta/status .................................................................... ~ 1s
  2026-06-02 16:05:10 /api/auth/google/status ............................................................ ~ 507.52ms
  2026-06-02 16:05:10 /api/tenant-config ................................................................. ~ 507.51ms
  2026-06-02 16:05:11 /api/auth/meta/app-settings .............................................................. ~ 1s
  2026-06-02 16:05:11 /api/notifications ................................................................. ~ 507.89ms
  2026-06-02 16:05:11 /api/auth/meta/status .............................................................. ~ 506.24ms
  2026-06-02 16:05:12 /api/auth/meta/app-settings ........................................................ ~ 506.42ms
  2026-06-02 16:05:12 /api/auth/meta/status .............................................................. ~ 505.75ms
  2026-06-02 16:07:09 /api/notifications ................................................................. ~ 501.14ms
  2026-06-02 16:09:09 /api/notifications ................................................................... ~ 2.00ms
  2026-06-02 16:09:52 /api/auth/meta/status .............................................................. ~ 501.04ms
  2026-06-02 16:09:52 /api/auth/meta/app-settings .......................................................... ~ 0.50ms
  2026-06-02 16:11:09 /api/notifications ................................................................. ~ 502.37ms
  2026-06-02 16:13:09 /api/notifications ................................................................. ~ 503.26ms
  2026-06-02 16:15:09 /api/notifications ................................................................... ~ 1.10ms
  2026-06-02 16:15:09 /api/notifications ................................................................. ~ 501.66ms
  2026-06-02 16:17:09 /api/notifications ................................................................. ~ 501.07ms
  2026-06-02 16:19:40 /api/notifications ................................................................. ~ 501.72ms
  2026-06-02 16:21:40 /api/notifications ................................................................. ~ 538.43ms
  2026-06-02 16:23:40 /api/notifications ................................................................. ~ 501.09ms
